EpsgNumber|CrsName|AreaName
2263|NAD83 / New York Long Island (ftUS)|USA - New York - SPCS - Long Island
2264|NAD83 / North Carolina (ftUS)|USA - North Carolina
2265|NAD83 / North Dakota North (ft)|USA - North Dakota - SPCS - N
2266|NAD83 / North Dakota South (ft)|USA - North Dakota - SPCS - S
2267|NAD83 / Oklahoma North (ftUS)|USA - Oklahoma - SPCS - N
2268|NAD83 / Oklahoma South (ftUS)|USA - Oklahoma - SPCS - S
2269|NAD83 / Oregon North (ft)|USA - Oregon - SPCS - N
2270|NAD83 / Oregon South (ft)|USA - Oregon - SPCS - S
2271|NAD83 / Pennsylvania North (ftUS)|USA - Pennsylvania - SPCS - N
2272|NAD83 / Pennsylvania South (ftUS)|USA - Pennsylvania - SPCS - S
2273|NAD83 / South Carolina (ft)|USA - South Carolina
2274|NAD83 / Tennessee (ftUS)|USA - Tennessee
2275|NAD83 / Texas North (ftUS)|USA - Texas - SPCS - N
2276|NAD83 / Texas North Central (ftUS)|USA - Texas - SPCS - NC
2277|NAD83 / Texas Central (ftUS)|USA - Texas - SPCS - C
2278|NAD83 / Texas South Central (ftUS)|USA - Texas - SPCS83 - SC
2279|NAD83 / Texas South (ftUS)|USA - Texas - SPCS83 - S
2280|NAD83 / Utah North (ft)|USA - Utah - SPCS - N
2281|NAD83 / Utah Central (ft)|USA - Utah - SPCS - C
2282|NAD83 / Utah South (ft)|USA - Utah - SPCS - S
2283|NAD83 / Virginia North (ftUS)|USA - Virginia - SPCS - N
2284|NAD83 / Virginia South (ftUS)|USA - Virginia - SPCS - S
2285|NAD83 / Washington North (ftUS)|USA - Washington - SPCS83 - N
2286|NAD83 / Washington South (ftUS)|USA - Washington - SPCS83 - S
2287|NAD83 / Wisconsin North (ftUS)|USA - Wisconsin - SPCS - N
2288|NAD83 / Wisconsin Central (ftUS)|USA - Wisconsin - SPCS - C
2289|NAD83 / Wisconsin South (ftUS)|USA - Wisconsin - SPCS - S
2290|ATS77 / Prince Edward Isl. Stereographic (ATS77)|Canada - Prince Edward Island
2291|NAD83(CSRS98) / Prince Edward Isl. Stereographic (NAD83)|Canada - Prince Edward Island
2292|NAD83(CSRS98) / Prince Edward Isl. Stereographic (NAD83)|Canada - Prince Edward Island
2294|ATS77 / MTM Nova Scotia zone 4|Canada - Nova Scotia - east of 63°W
2295|ATS77 / MTM Nova Scotia zone 5|Canada - Nova Scotia - west of 63°W
2296|Ammassalik 1958 / Greenland zone 7 east|Greenland - Ammassalik area
2297|Qornoq 1927 / Greenland zone 1 east|Greenland - north of 81°N
2298|Qornoq 1927 / Greenland zone 2 east|Greenland - east - 78°N to 81°N
2299|Qornoq 1927 / Greenland zone 2 west|Greenland - west coast - 78°N to 79°N
2300|Qornoq 1927 / Greenland zone 3 east|Greenland - east - 75°N to 78°N
2301|Qornoq 1927 / Greenland zone 3 west|Greenland - west coast - 75°N to 78°N
2302|Qornoq 1927 / Greenland zone 4 east|Greenland - east - 72°N to 75°N
2303|Qornoq 1927 / Greenland zone 4 west|Greenland - west coast - 72°N to 75°N
2304|Qornoq 1927 / Greenland zone 5 west|Greenland - west coast - 69°N to 72°N
2305|Qornoq 1927 / Greenland zone 6 west|Greenland - west coast - 66°N to 69°N
2306|Qornoq 1927 / Greenland zone 7 west|Greenland - west coast - 63°N to 66°N
2307|Qornoq 1927 / Greenland zone 8 east|Greenland - southwest coast south of 63°N
2308|Batavia / TM 109 SE|Indonesia - Java Sea - offshore northwest Java
2309|WGS 84 / TM 116 SE|Indonesia - Bali Sea west
2310|WGS 84 / TM 132 SE|Indonesia - West Papua - Tangguh
2311|WGS 84 / TM 6 NE|Nigeria - offshore
2312|Garoua / UTM zone 33N|Cameroon - Garoua area
2313|Kousseri / UTM zone 33N|Cameroon - N&#39;Djamena area
2314|Trinidad 1903 / Trinidad Grid (ftCla)|Trinidad and Tobago - Trinidad
2315|Campo Inchauspe / UTM zone 19S|Argentina - Tierra del Fuego offshore west of 66°W
2316|Campo Inchauspe / UTM zone 20S|Argentina - Tierra del Fuego offshore east of 66°W
2317|PSAD56 / ICN Regional|Venezuela - onshore
2318|Ain el Abd / Aramco Lambert|Saudi Arabia - onshore
2319|ED50 / TM27|Turkey - west of 28.5°E onshore
2320|ED50 / TM30|Turkey - 28.5°E to 31.5°E onshore
2321|ED50 / TM33|Turkey - 31.5°E to 34.5°E onshore
2322|ED50 / TM36|Turkey - 34.5°E to 37.5°E onshore
2323|ED50 / TM39|Turkey - 37.5°E to 40.5°E onshore
2324|ED50 / TM42|Turkey - 40.5°E to 43.5°E onshore
2325|ED50 / TM45|Turkey - east of 43.5°E
2326|Hong Kong 1980 Grid System|China - Hong Kong
2327|Xian 1980 / Gauss-Kruger zone 13|China - west of 78°E
2328|Xian 1980 / Gauss-Kruger zone 14|China - 78°E to 84°E
2329|Xian 1980 / Gauss-Kruger zone 15|China - 84°E to 90°E
2330|Xian 1980 / Gauss-Kruger zone 16|China - 90°E to 96°E
2331|Xian 1980 / Gauss-Kruger zone 17|China - 96°E to 102°E
2332|Xian 1980 / Gauss-Kruger zone 18|China - 102°E to 108°E onshore
2333|Xian 1980 / Gauss-Kruger zone 19|China - 108°E to 114°E onshore
2334|Xian 1980 / Gauss-Kruger zone 20|China - 114°E to 120°E onshore
2335|Xian 1980 / Gauss-Kruger zone 21|China - 120°E to 126°E onshore
2336|Xian 1980 / Gauss-Kruger zone 22|China - 126°E to 132°E onshore
2337|Xian 1980 / Gauss-Kruger zone 23|China - east of 132°E
2338|Xian 1980 / Gauss-Kruger CM 75E|China - west of 78°E
2339|Xian 1980 / Gauss-Kruger CM 81E|China - 78°E to 84°E
2340|Xian 1980 / Gauss-Kruger CM 87E|China - 84°E to 90°E
2341|Xian 1980 / Gauss-Kruger CM 93E|China - 90°E to 96°E
2342|Xian 1980 / Gauss-Kruger CM 99E|China - 96°E to 102°E
2343|Xian 1980 / Gauss-Kruger CM 105E|China - 102°E to 108°E onshore
2344|Xian 1980 / Gauss-Kruger CM 111E|China - 108°E to 114°E onshore
2345|Xian 1980 / Gauss-Kruger CM 117E|China - 114°E to 120°E onshore
2346|Xian 1980 / Gauss-Kruger CM 123E|China - 120°E to 126°E onshore
2347|Xian 1980 / Gauss-Kruger CM 129E|China - 126°E to 132°E onshore
2348|Xian 1980 / Gauss-Kruger CM 135E|China - east of 132°E
2349|Xian 1980 / 3-degree Gauss-Kruger zone 25|China - west of 76.5°E
2350|Xian 1980 / 3-degree Gauss-Kruger zone 26|China - 76.5°E to 79.5°E
2351|Xian 1980 / 3-degree Gauss-Kruger zone 27|China - 79.5°E to 82.5°E
2352|Xian 1980 / 3-degree Gauss-Kruger zone 28|China - 82.5°E to 85.5°E
2353|Xian 1980 / 3-degree Gauss-Kruger zone 29|China - 85.5°E to 88.5°E
2354|Xian 1980 / 3-degree Gauss-Kruger zone 30|China - 88.5°E to 91.5°E
2355|Xian 1980 / 3-degree Gauss-Kruger zone 31|China - 91.5°E to 94.5°E
2356|Xian 1980 / 3-degree Gauss-Kruger zone 32|China - 94.5°E to 97.5°E
2357|Xian 1980 / 3-degree Gauss-Kruger zone 33|China - 97.5°E to 100.5°E
2358|Xian 1980 / 3-degree Gauss-Kruger zone 34|China - 100.5°E to 103.5°E
2359|Xian 1980 / 3-degree Gauss-Kruger zone 35|China - 103.5°E to 106.5°E
2360|Xian 1980 / 3-degree Gauss-Kruger zone 36|China - 106.5°E to 109.5°E onshore
2361|Xian 1980 / 3-degree Gauss-Kruger zone 37|China - 109.5°E to 112.5°E onshore
2362|Xian 1980 / 3-degree Gauss-Kruger zone 38|China - 112.5°E to 115.5°E onshore
2363|Xian 1980 / 3-degree Gauss-Kruger zone 39|China - 115.5°E to 118.5°E onshore
2364|Xian 1980 / 3-degree Gauss-Kruger zone 40|China - 118.5°E to 121.5°E onshore
2365|Xian 1980 / 3-degree Gauss-Kruger zone 41|China - 121.5°E to 124.5°E onshore
2366|Xian 1980 / 3-degree Gauss-Kruger zone 42|China - 124.5°E to 127.5°E onshore
2367|Xian 1980 / 3-degree Gauss-Kruger zone 43|China - 127.5°E to 130.5°E
2368|Xian 1980 / 3-degree Gauss-Kruger zone 44|China - 130.5°E to 133.5°E
2369|Xian 1980 / 3-degree Gauss-Kruger zone 45|China - east of 133.5°E
2370|Xian 1980 / 3-degree Gauss-Kruger CM 75E|China - west of 76.5°E
2371|Xian 1980 / 3-degree Gauss-Kruger CM 78E|China - 76.5°E to 79.5°E
2372|Xian 1980 / 3-degree Gauss-Kruger CM 81E|China - 79.5°E to 82.5°E
